project,description,version,developers,url,year,licenses,license urls,dependency
Apache FreeMarker,"FreeMarker is a ""template engine""; a generic tool to generate text output based on templates.",2.3.32,,https://freemarker.apache.org/,,"Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,org.freemarker:freemarker:2.3.32
Apache Kafka,,3.4.1,,https://kafka.apache.org,,"The Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,org.apache.kafka:kafka-clients:3.4.1
Apache Log4j API,The Apache Log4j API,2.20.0,,,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,org.apache.logging.log4j:log4j-api:2.20.0
Apache Log4j to SLF4J Adapter,The Apache Log4j binding between Log4j 2 API and SLF4J.,2.20.0,,,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,org.apache.logging.log4j:log4j-to-slf4j:2.20.0
Core functionality for the Reactor Netty library,Core functionality for the Reactor Netty library,1.1.12,"Simon Baslé,Violeta Georgieva",https://github.com/reactor/reactor-netty,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,io.projectreactor.netty:reactor-netty-core:1.1.12
FindBugs-jsr305,JSR305 Annotations for Findbugs,3.0.2,,http://findbugs.sourceforge.net/,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,com.google.code.findbugs:jsr305:3.0.2
HTTP functionality for the Reactor Netty library,HTTP functionality for the Reactor Netty library,1.1.12,"Simon Baslé,Violeta Georgieva",https://github.com/reactor/reactor-netty,,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,io.projectreactor.netty:reactor-netty-http:1.1.12
Jackson datatype: jdk8,"Add-on module for Jackson (http://jackson.codehaus.org) to support
JDK 8 data types.",2.15.3,,,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.15.3
Jackson datatype: JSR310,Add-on module to support JSR-310 (Java 8 Date & Time API) data types.,2.15.3,Nick Williams,,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.15.3
Jackson-annotations,"Core annotations used for value types, used by Jackson data binding package.",2.15.3,,https://github.com/FasterXML/jackson,2008,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,com.fasterxml.jackson.core:jackson-annotations:2.15.3
Jackson-core,"Core Jackson processing abstractions (aka Streaming API), implementation for JSON",2.15.3,,https://github.com/FasterXML/jackson-core,2008,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,com.fasterxml.jackson.core:jackson-core:2.15.3
jackson-databind,General data-binding functionality for Jackson: works on core streaming API,2.15.3,,https://github.com/FasterXML/jackson,2008,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,com.fasterxml.jackson.core:jackson-databind:2.15.3
Jackson-module-parameter-names,"Add-on module for Jackson (http://jackson.codehaus.org) to support
introspection of method/constructor parameter names, without having to add explicit property name annotation.",2.15.3,,,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,com.fasterxml.jackson.module:jackson-module-parameter-names:2.15.3
Jakarta Annotations API,Jakarta Annotations API,2.1.1,"Linda De Michiel,Dmitry Kornilov",https://projects.eclipse.org/projects/ee4j.ca,2004,"EPL 2.0,GPL2 w/ CPE","http://www.eclipse.org/legal/epl-2.0,https://www.gnu.org/software/classpath/license.html",jakarta.annotation:jakarta.annotation-api:2.1.1
JUL to SLF4J bridge,JUL to SLF4J bridge,2.0.9,,http://www.slf4j.org,,MIT License,http://www.opensource.org/licenses/mit-license.php,org.slf4j:jul-to-slf4j:2.0.9
Logback Classic Module,logback-classic module,1.4.11,,,,"Eclipse Public License - v 1.0,GNU Lesser General Public License","http://www.eclipse.org/legal/epl-v10.html,http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html",ch.qos.logback:logback-classic:1.4.11
Logback Core Module,logback-core module,1.4.11,,,,"Eclipse Public License - v 1.0,GNU Lesser General Public License","http://www.eclipse.org/legal/epl-v10.html,http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html",ch.qos.logback:logback-core:1.4.11
LZ4 and xxHash,Java ports and bindings of the LZ4 compression algorithm and the xxHash hashing algorithm,1.8.0,"Adrien Grand,Rei Odaira",https://github.com/lz4/lz4-java,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,org.lz4:lz4-java:1.8.0
micrometer-commons,Module containing common code,1.11.5,Tommy Ludwig,https://github.com/micrometer-metrics/micrometer,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,io.micrometer:micrometer-commons:1.11.5
micrometer-observation,Module containing Observation related code,1.11.5,Tommy Ludwig,https://github.com/micrometer-metrics/micrometer,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,io.micrometer:micrometer-observation:1.11.5
Netty/Buffer,,4.1.100.Final,,,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,io.netty:netty-buffer:4.1.100.Final
Netty/Codec,,4.1.100.Final,,,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,io.netty:netty-codec:4.1.100.Final
Netty/Codec/DNS,,4.1.100.Final,,,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,io.netty:netty-codec-dns:4.1.100.Final
Netty/Codec/HTTP,,4.1.100.Final,,,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,io.netty:netty-codec-http:4.1.100.Final
Netty/Codec/HTTP2,,4.1.100.Final,,,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,io.netty:netty-codec-http2:4.1.100.Final
Netty/Codec/Socks,,4.1.100.Final,,,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,io.netty:netty-codec-socks:4.1.100.Final
Netty/Common,,4.1.100.Final,,,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,io.netty:netty-common:4.1.100.Final
Netty/Handler,,4.1.100.Final,,,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,io.netty:netty-handler:4.1.100.Final
Netty/Handler/Proxy,,4.1.100.Final,,,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,io.netty:netty-handler-proxy:4.1.100.Final
Netty/Resolver,,4.1.100.Final,,,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,io.netty:netty-resolver:4.1.100.Final
Netty/Resolver/DNS,,4.1.100.Final,,,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,io.netty:netty-resolver-dns:4.1.100.Final
Netty/Resolver/DNS/Classes/MacOS,,4.1.100.Final,,,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,io.netty:netty-resolver-dns-classes-macos:4.1.100.Final
Netty/Resolver/DNS/Native/MacOS,,4.1.100.Final,,,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,io.netty:netty-resolver-dns-native-macos:4.1.100.Final
Netty/Transport,,4.1.100.Final,,,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,io.netty:netty-transport:4.1.100.Final
Netty/Transport/Classes/Epoll,,4.1.100.Final,,,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,io.netty:netty-transport-classes-epoll:4.1.100.Final
Netty/Transport/Native/Epoll,,4.1.100.Final,,,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,io.netty:netty-transport-native-epoll:4.1.100.Final
Netty/Transport/Native/Unix/Common,Static library which contains common unix utilities.,4.1.100.Final,,,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,io.netty:netty-transport-native-unix-common:4.1.100.Final
Non-Blocking Reactive Foundation for the JVM,Non-Blocking Reactive Foundation for the JVM,3.5.11,"Simon Baslé,Oleh Dokuka",https://github.com/reactor/reactor-core,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,io.projectreactor:reactor-core:3.5.11
reactive-streams,A Protocol for Asynchronous Non-Blocking Data Sequence,1.0.4,Reactive Streams SIG,http://www.reactive-streams.org/,2014,MIT-0,https://spdx.org/licenses/MIT-0.html,org.reactivestreams:reactive-streams:1.0.4
SLF4J API Module,The slf4j API,2.0.9,,http://www.slf4j.org,,MIT License,http://www.opensource.org/licenses/mit-license.php,org.slf4j:slf4j-api:2.0.9
SnakeYAML,YAML 1.1 parser and emitter for Java,1.33,"Andrey Somov,Alexander Maslov",https://bitbucket.org/snakeyaml/snakeyaml,2008,"Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,org.yaml:snakeyaml:1.33
snappy-java,snappy-java: A fast compression/decompression library,1.1.8.4,Taro L. Saito,https://github.com/xerial/snappy-java,,Apache-2.0,https://www.apache.org/licenses/LICENSE-2.0.html,org.xerial.snappy:snappy-java:1.1.8.4
Spring AOP,Spring AOP,6.0.13,Juergen Hoeller,https://github.com/spring-projects/spring-framework,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework:spring-aop:6.0.13
Spring Beans,Spring Beans,6.0.13,Juergen Hoeller,https://github.com/spring-projects/spring-framework,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework:spring-beans:6.0.13
Spring Commons Logging Bridge,Spring Commons Logging Bridge,6.0.13,Juergen Hoeller,https://github.com/spring-projects/spring-framework,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework:spring-jcl:6.0.13
Spring Context,Spring Context,6.0.13,Juergen Hoeller,https://github.com/spring-projects/spring-framework,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework:spring-context:6.0.13
Spring Context Support,Spring Context Support,6.0.13,Juergen Hoeller,https://github.com/spring-projects/spring-framework,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework:spring-context-support:6.0.13
Spring Core,Spring Core,6.0.13,Juergen Hoeller,https://github.com/spring-projects/spring-framework,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework:spring-core:6.0.13
Spring Expression Language (SpEL),Spring Expression Language (SpEL),6.0.13,Juergen Hoeller,https://github.com/spring-projects/spring-framework,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework:spring-expression:6.0.13
Spring Kafka Support,Spring Kafka Support,3.0.12,"Gary Russell,Artem Bilan",https://github.com/spring-projects/spring-kafka,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,org.springframework.kafka:spring-kafka:3.0.12
Spring Messaging,Spring Messaging,6.0.13,Juergen Hoeller,https://github.com/spring-projects/spring-framework,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework:spring-messaging:6.0.13
Spring Retry,"Spring Retry provides an abstraction around retrying failed operations, with an
		emphasis on declarative control of the process and policy-based behaviour that is
		easy to extend and customize. For instance, you can configure a plain POJO
		operation to retry if it fails, based on the type of exception, and with a fixed
		or exponential backoff.",${revision},Dave Syer,https://www.springsource.org,,Apache 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,org.springframework.retry:spring-retry:${revision}
Spring Transaction,Spring Transaction,6.0.13,Juergen Hoeller,https://github.com/spring-projects/spring-framework,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework:spring-tx:6.0.13
Spring Web,Spring Web,6.0.13,Juergen Hoeller,https://github.com/spring-projects/spring-framework,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework:spring-web:6.0.13
Spring WebFlux,Spring WebFlux,6.0.13,Juergen Hoeller,https://github.com/spring-projects/spring-framework,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework:spring-webflux:6.0.13
spring-boot,Spring Boot,3.1.5,Spring,https://spring.io/projects/spring-boot,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.boot:spring-boot:3.1.5
spring-boot-autoconfigure,Spring Boot AutoConfigure,3.1.5,Spring,https://spring.io/projects/spring-boot,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.boot:spring-boot-autoconfigure:3.1.5
spring-boot-starter,"Core starter, including auto-configuration support, logging and YAML",3.1.5,Spring,https://spring.io/projects/spring-boot,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.boot:spring-boot-starter:3.1.5
spring-boot-starter-freemarker,Starter for building MVC web applications using FreeMarker views,3.1.5,Spring,https://spring.io/projects/spring-boot,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.boot:spring-boot-starter-freemarker:3.1.5
spring-boot-starter-json,Starter for reading and writing json,3.1.5,Spring,https://spring.io/projects/spring-boot,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.boot:spring-boot-starter-json:3.1.5
spring-boot-starter-logging,Starter for logging using Logback. Default logging starter,3.1.5,Spring,https://spring.io/projects/spring-boot,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.boot:spring-boot-starter-logging:3.1.5
spring-boot-starter-reactor-netty,Starter for using Reactor Netty as the embedded reactive HTTP server.,3.1.5,Spring,https://spring.io/projects/spring-boot,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.boot:spring-boot-starter-reactor-netty:3.1.5
spring-boot-starter-webflux,"Starter for building WebFlux applications using Spring Framework's Reactive Web support",3.1.5,Spring,https://spring.io/projects/spring-boot,,"Apache License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0,org.springframework.boot:spring-boot-starter-webflux:3.1.5
zstd-jni,JNI bindings for Zstd native library that provides fast and high compression lossless algorithm for Java and all JVM languages.,1.5.2-1,Luben Karavelov,https://github.com/luben/zstd-jni,,BSD 2-Clause License,https://opensource.org/licenses/BSD-2-Clause,com.github.luben:zstd-jni:1.5.2-1